일자,구분,종목번호,수량,거래대금,미수발생/변제,세전이자,수수료,연체료,상대처,변동금액,대출일,처리자,
상품,적요,종목명,가격,신용/대출금,신용/대출이자,예탁금이용료,제세금,대체계좌/채널,의뢰자명,최종금액,만기일,,
20260624,해외배당금,USD,,77.0,,0,0,,,77.0,,,
01,,,0,,,,11.55,,,22993.1,,,
20260622,해외증권_해외주식매수,US46138G6492,4,1780,,0,0.89,,,1780,,,
01,,INVESCO NASDAQ 100,445,,,,0,,,22927.65,,,
20260622,장내_매도,A068270,1,195000,,0,29,,,195000,,,
01,,Celltrion,195000,,,,351,,,65798755,,,
20260620,해외배당금,USD,,14.72,,0,0,,,14.72,,,
01,,,0,,,,2.21,,,24708.54,,,
20260618,은행이체외화입금,USD,,2500,,0,0,,,2500,,,
01,,,0,,,,0,,,24696.03,,,
20260618,해외증권_해외주식매수,US9229087690,1,282,,0,0.14,,,282,,,
01,,Vanguard Total Stock Market ETF,282,,,,0,,,22196.03,,,
20260617,장내_매수,A005930,21,1785000,,0,268,,,1785000,,,
01,,Samsung Electronics,85000,,,,0,,,65604135,,,
20260615,은행이체입금,,,3000000,,0,0,,,3000000,,,
01,,,0,,,,0,,,67389403,,,
20260615,배당금,A033780,1,24100,,0,0,,,24100,,,
01,,KT&G Corp,0,,,,3711,,,64389403,,,
20260612,은행이체외화입금,USD,,1358,,0,0,,,1358,,,
01,,,0,,,,0,,,22478.17,,,
20260608,장내_매수,A068270,3,585000,,0,88,,,585000,,,
01,,Celltrion,195000,,,,0,,,64369014,,,
20260605,은행이체입금,,,1672000,,0,0,,,1672000,,,
01,,,0,,,,0,,,64954102,,,
20260524,해외증권_해외주식매도,US9229087690,1,282,,0,0.14,,,282,,,
01,,Vanguard Total Stock Market ETF,282,,,,0.01,,,21120.17,,,
20260515,배당금,A033780,1,23750,,0,0,,,23750,,,
01,,KT&G Corp,0,,,,3658,,,63282102,,,
20260508,장내_매수,A051910,1,410000,,0,61,,,410000,,,
01,,LG Chem,410000,,,,0,,,63262010,,,
20260505,은행이체입금,,,1660000,,0,0,,,1660000,,,
01,,,0,,,,0,,,63672071,,,
20260420,해외배당금,USD,,14.48,,0,0,,,14.48,,,
01,,,0,,,,2.17,,,20838.32,,,
20260418,해외증권_해외주식매수,US1912161007,11,693,,0,0.35,,,693,,,
01,,Coca-Cola Co.,63,,,,0,,,20826.01,,,
20260415,배당금,A033780,1,23400,,0,0,,,23400,,,
